id,url,source,label,url_length
17,gccbusinessnews.com,Majestic,legitimate,19
2,nomadfactory.com,Majestic,legitimate,16
23,rr5---sn-cu-aigss.googlevideo.com,Cisco-Umbrella,legitimate,33
81,fosu2-1.fna.fbcdn.net,Cisco-Umbrella,legitimate,21
53,szbigbay.com,Majestic,legitimate,12
92,epaper-oesterreich.at,Majestic,legitimate,21
80,wits.ac.za,Majestic,legitimate,10
49,rmscloud.com,Majestic,legitimate,12
78,feldgrau.com,Majestic,legitimate,12
68,institut-entreprise.fr,Majestic,legitimate,22
67,fensterbau-ratgeber.de,Majestic,legitimate,22
55,bixi.alicdn.com,Cisco-Umbrella,legitimate,15
77,turku.fi,Majestic,legitimate,8
52,abingdonpress.com,Majestic,legitimate,17
6,oslosportslager.no,Majestic,legitimate,18
75,socialcatfish.com,Majestic,legitimate,17
66,umsa.edu.ar,Majestic,legitimate,11
72,media4.s-nbcnews.com,Cisco-Umbrella,legitimate,20
4,widget.cluster.groovehq.com,Cisco-Umbrella,legitimate,27
84,perfectchrono.co,Majestic,legitimate,16
5,haymarketbeer.com,Majestic,legitimate,17
0,apaceast.cloudguest.central.arubanetworks.com,Cisco-Umbrella,legitimate,45
64,s26552.pcdn.co,Cisco-Umbrella,legitimate,14
85,beneo.com,Majestic,legitimate,9
44,apio.halifax-online.co.uk,Cisco-Umbrella,legitimate,25
70,bbp-mettle.co.uk,Cisco-Umbrella,legitimate,16
38,arnolditkin.com,Majestic,legitimate,15
69,visitbath.com,Majestic,legitimate,13
28,tealcreek.net,Majestic,legitimate,13
54,chinawater.net.cn,Majestic,legitimate,17
91,com.00dg0000000j9jqmai.live.siteforce.com,Cisco-Umbrella,legitimate,41
14,revn.jp,Majestic,legitimate,7
36,www.moneyhero.com.hk,Cisco-Umbrella,legitimate,20
74,www.arkansasbluecross.com,Cisco-Umbrella,legitimate,25
62,intake.education,Majestic,legitimate,16
82,joinc12.com,Majestic,legitimate,11
9,yourdailydish.com,Majestic,legitimate,17
65,accessa.cxq.aetna.com,Cisco-Umbrella,legitimate,21
90,nowwedws.com,Majestic,legitimate,12
18,accounting-simplified.com,Majestic,legitimate,25
37,apaclassics.org,Majestic,legitimate,15
83,teachingbanyan.com,Majestic,legitimate,18
39,eva.ecwcloud.com,Cisco-Umbrella,legitimate,16
88,nrronline.org,Majestic,legitimate,13
76,bxhymyzx.com,Majestic,legitimate,12
33,onlineworldpharmacy.online,Majestic,legitimate,26
32,p16-heycan-va.ibyteimg.com,Cisco-Umbrella,legitimate,26
46,rr2---sn-uhvcpax0n5-jaxe.googlevideo.com,Cisco-Umbrella,legitimate,40
48,nidcom.gov.ng,Majestic,legitimate,13
41,dk.phantom.avira-vpn.com,Cisco-Umbrella,legitimate,24
79,muenkel.eu,Majestic,legitimate,10
61,asienhaus.de,Majestic,legitimate,12
97,oiv.hr,Majestic,legitimate,6
87,career4.successfactors.com,Cisco-Umbrella,legitimate,26
27,portal.rules.comcast.com,Cisco-Umbrella,legitimate,24
40,twodesperados.com,Cisco-Umbrella,legitimate,17
13,fllt.org,Majestic,legitimate,8
7,cloudshell.me-south-1.aws.amazon.com,Cisco-Umbrella,legitimate,36
93,rr7---sn-8xgp1vo-a5me.gvt1.com,Cisco-Umbrella,legitimate,30
10,trentemoller.com,Majestic,legitimate,16
86,ebaumsworld.com,Majestic,legitimate,15
22,garagedreams.net,Majestic,legitimate,16
99,achoon.com,Cisco-Umbrella,legitimate,10
63,api.braintreegateway.com,Cisco-Umbrella,legitimate,24
89,lmaleidykla.lt,Majestic,legitimate,14
31,anger-ec.com,Majestic,legitimate,12
26,www.franchising.com,Cisco-Umbrella,legitimate,19
20,stamp0-fd.prod.athena.msrareservices.com,Cisco-Umbrella,legitimate,40
42,thekitchenmagpie.com,Majestic,legitimate,20
96,discreet.com,Majestic,legitimate,12
60,d3vcloud.com,Cisco-Umbrella,legitimate,12
35,ifhost.flvs.net,Cisco-Umbrella,legitimate,15
57,spsprodwus31.vssps.visualstudio.com,Cisco-Umbrella,legitimate,35
34,gateway.myorganicapps.com,Cisco-Umbrella,legitimate,25
71,kprqwn.top,Majestic,legitimate,10
50,chunlong1688.com,Majestic,legitimate,16
56,imengine.editorial.prod.rgb.navigacloud.com,Cisco-Umbrella,legitimate,43
47,schweine.net,Majestic,legitimate,12
98,damiancullenband.com,Majestic,legitimate,20
15,ldcws.pcpf.panasonic.com,Cisco-Umbrella,legitimate,24
94,usgbc-web.s3.amazonaws.com,Cisco-Umbrella,legitimate,26
12,offertracking.vuclip.com,Cisco-Umbrella,legitimate,24
3,tvarenasport.com,Majestic,legitimate,16
51,mail.kasserver.com,Cisco-Umbrella,legitimate,18
58,rr3---sn-nx57ynsz.gvt1.com,Cisco-Umbrella,legitimate,26
29,ciec1.org,Majestic,legitimate,9
59,landwercafe.co.il,Majestic,legitimate,17
43,webresolve.ru,Majestic,legitimate,13
30,tigermuaythai.com,Majestic,legitimate,17
21,rebelmouse.net,Cisco-Umbrella,legitimate,14
11,coveto.de,Majestic,legitimate,9
8,bunkrstatic.b-cdn.net,Cisco-Umbrella,legitimate,21
24,beian.gov.cn.iname.damddos.com,Cisco-Umbrella,legitimate,30
1,quintadonoval.com,Majestic,legitimate,17
25,castleintheclouds.org,Majestic,legitimate,21
73,brand-innovators.com,Majestic,legitimate,20
95,img5.d2cmedia.ca,Cisco-Umbrella,legitimate,16
16,aarohamresorts.com,Majestic,legitimate,18
45,couchsrvnation.com,Majestic,legitimate,18
19,ege.sdamgia.ru,Cisco-Umbrella,legitimate,14
